,Unnamed: 0,workerId,chain,generation,level,arrayTraining,encodingCorrected,nounsUser,prepsUser,seenInTraining,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
302,1102,A14,A,7,2,"[[0,[0]],1]",mrmks,msvt,kr,True,mrmks,mrmrs,mrmks,mrmrs,skmrm,srmrm,skmrm,srmrm,skmrm,srmrm,skmrm,srmrm,mrmks,mrmrs,mrmks,mrmrs,mmskr,mmsrr,mmskr,mmsrr,smmrk,smmrr,smmrk,smmrr,rksmm,rrsmm,rksmm,rrsmm,krmms,rrmms,krmms,rrmms,rkmms,rrmms,rkmms,rrmms,krsmm,rrsmm,krsmm,rrsmm,mmsrk,mmsrr,mmsrk,mmsrr,smmkr,smmrr,smmkr,smmrr,krsmm,rrsmm,krsmm,rrsmm,rkmms,rrmms,rkmms,rrmms,smmkr,smmrr,smmkr,smmrr,mmsrk,mmsrr,mmsrk,mmsrr
310,1110,A14,A,7,3,"[0,[[0,1],[1]]]",mkmksrs,msvt,kr,False,mkmksrs,mrmrsrs,mksrmks,mrsrmrs,skmrskm,srmrsrm,srskmkm,srsrmrm,srskmkm,srsrmrm,skmrskm,srmrsrm,mksrmks,mrsrmrs,mkmksrs,mrmrsrs,mmssrkk,mmssrrr,msmskrk,msmsrrr,smsmkrk,smsmrrr,ssmmkkr,ssmmrrr,kkrssmm,rrrssmm,krksmsm,rrrsmsm,krkmsms,rrrmsms,rkkmmss,rrrmmss,kkrmmss,rrrmmss,krkmsms,rrrmsms,krksmsm,rrrsmsm,rkkssmm,rrrssmm,mmsskkr,mmssrrr,msmskrk,msmsrrr,smsmkrk,smsmrrr,ssmmrkk,ssmmrrr,rkkssmm,rrrssmm,krksmsm,rrrsmsm,krkmsms,rrrmsms,kkrmmss,rrrmmss,ssmmrkk,ssmmrrr,smsmkrk,smsmrrr,msmskrk,msmsrrr,mmsskkr,mmssrrr
312,1112,A14,A,7,3,"[0,[[3,[2]],[2]]]",mktrvrv,msvt,kr,False,mktrvrv,mrtkvrv,mkvrvrt,mrvrvkt,trvrvkm,tkvrvrm,vrvrtkm,vrvktrm,vrvrtkm,vrvktrm,trvrvkm,tkvrvrm,mkvrvrt,mrvrvkt,mktrvrv,mrtkvrv,mtvvrrk,mtvvrkr,mvvtrrk,mvvtkrr,tvvmkrr,tvvmrrk,vvtmkrr,vvtmrkr,krrvvtm,rkrvvtm,krrtvvm,rrktvvm,rrkmvvt,krrmvvt,rrkmtvv,rkrmtvv,krrmtvv,rkrmtvv,krrmvvt,rrkmvvt,rrktvvm,krrtvvm,rrkvvtm,rkrvvtm,mtvvkrr,mtvvrkr,mvvtkrr,mvvtrrk,tvvmrrk,tvvmkrr,vvtmrrk,vvtmrkr,rrkvvtm,rkrvvtm,rrktvvm,krrtvvm,krrmvvt,rrkmvvt,krrmtvv,rkrmtvv,vvtmrrk,vvtmrkr,tvvmrrk,tvvmkrr,mvvtkrr,mvvtrrk,mtvvkrr,mtvvrkr
313,1113,A14,A,7,3,"[[0,[1,2]],[3]]",mkskvrt,msvt,kr,False,mkskvrt,mksrvkt,trmkskv,tkmksrv,vkskmrt,vrskmkt,trvkskm,tkvrskm,trvkskm,tkvrskm,vkskmrt,vrskmkt,trmkskv,tkmksrv,mkskvrt,mksrvkt,msvtrkk,msvtkrk,tmsvkkr,tmsvrkk,vsmtrkk,vsmtkkr,tvsmkkr,tvsmkrk,kkrtvsm,krktvsm,rkkvsmt,kkrvsmt,kkrtmsv,rkktmsv,rkkmsvt,krkmsvt,kkrmsvt,krkmsvt,rkktmsv,kkrtmsv,kkrvsmt,rkkvsmt,rkktvsm,krktvsm,msvtkkr,msvtkrk,tmsvrkk,tmsvkkr,vsmtkkr,vsmtrkk,tvsmrkk,tvsmkrk,rkktvsm,krktvsm,kkrvsmt,rkkvsmt,rkktmsv,kkrtmsv,kkrmsvt,krkmsvt,tvsmrkk,tvsmkrk,vsmtkkr,vsmtrkk,tmsvrkk,tmsvkkr,msvtkkr,msvtkrk
314,1114,A14,A,7,3,"[[[2,[1]],[3]],[2]]",vrsrtrv,msvt,kr,False,vrsrtrv,vksrtkv,vrtrsrv,vktrskv,vrsrtrv,vksrtkv,vrtrsrv,vktrskv,vrtrsrv,vktrskv,vrsrtrv,vksrtkv,vrtrsrv,vktrskv,vrsrtrv,vksrtkv,vstvrrr,vstvkrk,vtsvrrr,vtsvkrk,vstvrrr,vstvkrk,vtsvrrr,vtsvkrk,rrrvtsv,krkvtsv,rrrvstv,krkvstv,rrrvtsv,krkvtsv,rrrvstv,krkvstv,rrrvstv,krkvstv,rrrvtsv,krkvtsv,rrrvstv,krkvstv,rrrvtsv,krkvtsv,vstvrrr,vstvkrk,vtsvrrr,vtsvkrk,vstvrrr,vstvkrk,vtsvrrr,vtsvkrk,rrrvtsv,krkvtsv,rrrvstv,krkvstv,rrrvtsv,krkvtsv,rrrvstv,krkvstv,vtsvrrr,vtsvkrk,vstvrrr,vstvkrk,vtsvrrr,vtsvkrk,vstvrrr,vstvkrk
315,1115,A14,A,7,3,"[3,[[3,[0,[3]]]]]",trtkmrt,msvt,kr,False,trtkmrt,tktrmrt,tktrmrt,trtrmkt,trmrtkt,tkmrtrt,trmktrt,trmrtkt,trmktrt,trmrtkt,trmrtkt,tkmrtrt,tktrmrt,trtrmkt,trtkmrt,tktrmrt,ttmtrkr,ttmtrrk,ttmtrrk,ttmtkrr,tmttkrr,tmttrrk,tmttrkr,tmttkrr,rkrtmtt,krrtmtt,krrtmtt,rrktmtt,rrkttmt,krrttmt,rkrttmt,rrkttmt,rkrttmt,krrttmt,krrttmt,rrkttmt,rrktmtt,krrtmtt,rkrtmtt,rrktmtt,ttmtrkr,ttmtkrr,ttmtkrr,ttmtrrk,tmttrrk,tmttkrr,tmttrkr,tmttrrk,rkrtmtt,rrktmtt,rrktmtt,krrtmtt,krrttmt,rrkttmt,rkrttmt,krrttmt,tmttrkr,tmttrrk,tmttrrk,tmttkrr,ttmtkrr,ttmtrrk,ttmtrkr,ttmtkrr
316,1116,A14,A,7,3,"[[0,[2,[0]]],[1]]",mkvrmrs,msvt,kr,False,mkvrmrs,mkvkmks,srmkmrv,skmkmkv,vrmkmrs,vkmkmks,srmrvkm,skmkvkm,srmrvkm,skmkvkm,vrmkmrs,vkmkmks,srmkmrv,skmkmkv,mkvrmrs,mkvkmks,mvmsrrk,mvmskkk,smmvrkr,smmvkkk,vmmsrkr,vmmskkk,smvmkrr,smvmkkk,krrsmvm,kkksmvm,rkrvmms,kkkvmms,rkrsmmv,kkksmmv,rrkmvms,kkkmvms,krrmvms,kkkmvms,rkrsmmv,kkksmmv,rkrvmms,kkkvmms,rrksmvm,kkksmvm,mvmskrr,mvmskkk,smmvrkr,smmvkkk,vmmsrkr,vmmskkk,smvmrrk,smvmkkk,rrksmvm,kkksmvm,rkrvmms,kkkvmms,rkrsmmv,kkksmmv,krrmvms,kkkmvms,smvmrrk,smvmkkk,vmmsrkr,vmmskkk,smmvrkr,smmvkkk,mvmskrr,mvmskkk
317,1117,A14,A,7,3,"[1,[[[0,1],[3]]]]",srmksrt,msvt,kr,False,srmksrt,skmkskt,trmksrs,tkmksks,srskmrt,skskmkt,trskmrs,tkskmks,trskmrs,tkskmks,srskmrt,skskmkt,trmksrs,tkmksks,srmksrt,skmkskt,smstrkr,smstkkk,tmssrkr,tmsskkk,ssmtrkr,ssmtkkk,tsmsrkr,tsmskkk,rkrtsms,kkktsms,rkrssmt,kkkssmt,rkrtmss,kkktmss,rkrsmst,kkksmst,rkrsmst,kkksmst,rkrtmss,kkktmss,rkrssmt,kkkssmt,rkrtsms,kkktsms,smstrkr,smstkkk,tmssrkr,tmsskkk,ssmtrkr,ssmtkkk,tsmsrkr,tsmskkk,rkrtsms,kkktsms,rkrssmt,kkkssmt,rkrtmss,kkktmss,rkrsmst,kkksmst,tsmsrkr,tsmskkk,ssmtrkr,ssmtkkk,tmssrkr,tmsskkk,smstrkr,smstkkk
319,1119,A14,A,7,3,"[[[1,1],2],1]",skskvks,msvt,kr,False,skskvks,srskvrs,skskvks,srskvrs,skvksks,srvksrs,skvksks,srvksrs,skvksks,srvksrs,skvksks,srvksrs,skskvks,srskvrs,skskvks,srskvrs,ssvskkk,ssvsrkr,ssvskkk,ssvsrkr,svsskkk,svssrkr,svsskkk,svssrkr,kkksvss,rkrsvss,kkksvss,rkrsvss,kkkssvs,rkrssvs,kkkssvs,rkrssvs,kkkssvs,rkrssvs,kkkssvs,rkrssvs,kkksvss,rkrsvss,kkksvss,rkrsvss,ssvskkk,ssvsrkr,ssvskkk,ssvsrkr,svsskkk,svssrkr,svsskkk,svssrkr,kkksvss,rkrsvss,kkksvss,rkrsvss,kkkssvs,rkrssvs,kkkssvs,rkrssvs,svsskkk,svssrkr,svsskkk,svssrkr,ssvskkk,ssvsrkr,ssvskkk,ssvsrkr
311,1111,A14,A,7,3,"[3,[0,[[1,1]]]]",tkmrvkv,msvt,kr,False,tkmrsks,trmrsks,tksksrm,trsksrm,mrskskt,mrsksrt,sksrmkt,sksrmrt,sksrmkt,sksrmrt,mrskskt,mrsksrt,tksksrm,trsksrm,tkmrsks,trmrsks,tmsskrk,tmsskrr,tssmrkk,tssmrkr,msstkkr,msstrkr,ssmtkrk,ssmtrrk,krkssmt,rrkssmt,kkrmsst,rkrmsst,rkktssm,rkrtssm,krktmss,krrtmss,krktmss,rrktmss,kkrtssm,rkrtssm,rkkmsst,rkrmsst,krkssmt,krrssmt,tmsskrk,tmssrrk,tssmkkr,tssmrkr,msstrkk,msstrkr,ssmtkrk,ssmtkrr,krkssmt,krrssmt,rkkmsst,rkrmsst,kkrtssm,rkrtssm,krktmss,rrktmss,ssmtkrk,ssmtkrr,msstrkk,msstrkr,tssmkkr,tssmrkr,tmsskrk,tmssrrk
280,1080,A14,A,7,0,0,m,msvt,kr,True,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
301,1101,A14,A,7,2,"[1,[3,[0]]]",sktrm,msvt,kr,True,sktrm,srtrm,skmrt,srmrt,trmks,trmrs,mrtks,mrtrs,mrtks,mrtrs,trmks,trmrs,skmrt,srmrt,sktrm,srtrm,stmrk,stmrr,smtrk,smtrr,tmskr,tmsrr,mtskr,mtsrr,krmts,rrmts,krtms,rrtms,rksmt,rrsmt,rkstm,rrstm,krstm,rrstm,krsmt,rrsmt,rktms,rrtms,rkmts,rrmts,stmkr,stmrr,smtkr,smtrr,tmsrk,tmsrr,mtsrk,mtsrr,rkmts,rrmts,rktms,rrtms,krsmt,rrsmt,krstm,rrstm,mtsrk,mtsrr,tmsrk,tmsrr,smtkr,smtrr,stmkr,stmrr
299,1099,A14,A,7,2,"[[1,3],2]",sktkv,msvt,kr,True,sktkv,sktrv,sktkv,sktrv,vktks,vrtks,vktks,vrtks,vktks,vrtks,vktks,vrtks,sktkv,sktrv,sktkv,sktrv,stvkk,stvrk,stvkk,stvrk,vtskk,vtskr,vtskk,vtskr,kkvts,krvts,kkvts,krvts,kkstv,rkstv,kkstv,rkstv,kkstv,krstv,kkstv,krstv,kkvts,rkvts,kkvts,rkvts,stvkk,stvkr,stvkk,stvkr,vtskk,vtsrk,vtskk,vtsrk,kkvts,rkvts,kkvts,rkvts,kkstv,krstv,kkstv,krstv,vtskk,vtsrk,vtskk,vtsrk,stvkk,stvkr,stvkk,stvkr
282,1082,A14,A,7,0,2,v,msvt,kr,True,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
283,1083,A14,A,7,0,3,t,msvt,kr,True,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
284,1084,A14,A,7,1,"[1,3]",str,msvt,kr,True,skt,srt,skt,srt,tks,trs,tks,trs,tks,trs,tks,trs,skt,srt,skt,srt,stk,str,stk,str,tsk,tsr,tsk,tsr,kts,rts,kts,rts,kst,rst,kst,rst,kst,rst,kst,rst,kts,rts,kts,rts,stk,str,stk,str,tsk,tsr,tsk,tsr,kts,rts,kts,rts,kst,rst,kst,rst,tsk,tsr,tsk,tsr,stk,str,stk,str
285,1085,A14,A,7,1,"[1,[1]]",srs,msvt,kr,True,srs,sks,srs,sks,srs,sks,srs,sks,srs,sks,srs,sks,srs,sks,srs,sks,ssr,ssk,ssr,ssk,ssr,ssk,ssr,ssk,rss,kss,rss,kss,rss,kss,rss,kss,rss,kss,rss,kss,rss,kss,rss,kss,ssr,ssk,ssr,ssk,ssr,ssk,ssr,ssk,rss,kss,rss,kss,rss,kss,rss,kss,ssr,ssk,ssr,ssk,ssr,ssk,ssr,ssk
286,1086,A14,A,7,1,"[2,3]",vtr,msvt,kr,True,vkt,vrt,vkt,vrt,tkv,trv,tkv,trv,tkv,trv,tkv,trv,vkt,vrt,vkt,vrt,vtk,vtr,vtk,vtr,tvk,tvr,tvk,tvr,ktv,rtv,ktv,rtv,kvt,rvt,kvt,rvt,kvt,rvt,kvt,rvt,ktv,rtv,ktv,rtv,vtk,vtr,vtk,vtr,tvk,tvr,tvk,tvr,ktv,rtv,ktv,rtv,kvt,rvt,kvt,rvt,tvk,tvr,tvk,tvr,vtk,vtr,vtk,vtr
287,1087,A14,A,7,1,"[0,2]",mkv,msvt,kr,True,mkv,mrv,mkv,mrv,vkm,vrm,vkm,vrm,vkm,vrm,vkm,vrm,mkv,mrv,mkv,mrv,mvk,mvr,mvk,mvr,vmk,vmr,vmk,vmr,kvm,rvm,kvm,rvm,kmv,rmv,kmv,rmv,kmv,rmv,kmv,rmv,kvm,rvm,kvm,rvm,mvk,mvr,mvk,mvr,vmk,vmr,vmk,vmr,kvm,rvm,kvm,rvm,kmv,rmv,kmv,rmv,vmk,vmr,vmk,vmr,mvk,mvr,mvk,mvr
288,1088,A14,A,7,1,"[1,2]",skv,msvt,kr,True,skv,srv,skv,srv,vks,vrs,vks,vrs,vks,vrs,vks,vrs,skv,srv,skv,srv,svk,svr,svk,svr,vsk,vsr,vsk,vsr,kvs,rvs,kvs,rvs,ksv,rsv,ksv,rsv,ksv,rsv,ksv,rsv,kvs,rvs,kvs,rvs,svk,svr,svk,svr,vsk,vsr,vsk,vsr,kvs,rvs,kvs,rvs,ksv,rsv,ksv,rsv,vsk,vsr,vsk,vsr,svk,svr,svk,svr
300,1100,A14,A,7,2,"[1,[[0,[2]]]]",srmrv,msvt,kr,True,srmrv,skmkv,vrmrs,vkmks,srmrv,skmkv,vrmrs,vkmks,vrmrs,vkmks,srmrv,skmkv,vrmrs,vkmks,srmrv,skmkv,smvrr,smvkk,vmsrr,vmskk,smvrr,smvkk,vmsrr,vmskk,rrvms,kkvms,rrsmv,kksmv,rrvms,kkvms,rrsmv,kksmv,rrsmv,kksmv,rrvms,kkvms,rrsmv,kksmv,rrvms,kkvms,smvrr,smvkk,vmsrr,vmskk,smvrr,smvkk,vmsrr,vmskk,rrvms,kkvms,rrsmv,kksmv,rrvms,kkvms,rrsmv,kksmv,vmsrr,vmskk,smvrr,smvkk,vmsrr,vmskk,smvrr,smvkk
289,1089,A14,A,7,1,"[1,[3]]",srt,msvt,kr,True,srt,skt,trs,tks,srt,skt,trs,tks,trs,tks,srt,skt,trs,tks,srt,skt,str,stk,tsr,tsk,str,stk,tsr,tsk,rts,kts,rst,kst,rts,kts,rst,kst,rst,kst,rts,kts,rst,kst,rts,kts,str,stk,tsr,tsk,str,stk,tsr,tsk,rts,kts,rst,kst,rts,kts,rst,kst,tsr,tsk,str,stk,tsr,tsk,str,stk
291,1091,A14,A,7,1,"[3,[2]]",trv,msvt,kr,True,trv,tkv,vrt,vkt,trv,tkv,vrt,vkt,vrt,vkt,trv,tkv,vrt,vkt,trv,tkv,tvr,tvk,vtr,vtk,tvr,tvk,vtr,vtk,rvt,kvt,rtv,ktv,rvt,kvt,rtv,ktv,rtv,ktv,rvt,kvt,rtv,ktv,rvt,kvt,tvr,tvk,vtr,vtk,tvr,tvk,vtr,vtk,rvt,kvt,rtv,ktv,rvt,kvt,rtv,ktv,vtr,vtk,tvr,tvk,vtr,vtk,tvr,tvk
292,1092,A14,A,7,1,"[2,0]",vkm,msvt,kr,False,vkm,vrm,vkm,vrm,mkv,mrv,mkv,mrv,mkv,mrv,mkv,mrv,vkm,vrm,vkm,vrm,vmk,vmr,vmk,vmr,mvk,mvr,mvk,mvr,kmv,rmv,kmv,rmv,kvm,rvm,kvm,rvm,kvm,rvm,kvm,rvm,kmv,rmv,kmv,rmv,vmk,vmr,vmk,vmr,mvk,mvr,mvk,mvr,kmv,rmv,kmv,rmv,kvm,rvm,kvm,rvm,mvk,mvr,mvk,mvr,vmk,vmr,vmk,vmr
293,1093,A14,A,7,1,"[0,1]",mks,msvt,kr,False,mks,mrs,mks,mrs,skm,srm,skm,srm,skm,srm,skm,srm,mks,mrs,mks,mrs,msk,msr,msk,msr,smk,smr,smk,smr,ksm,rsm,ksm,rsm,kms,rms,kms,rms,kms,rms,kms,rms,ksm,rsm,ksm,rsm,msk,msr,msk,msr,smk,smr,smk,smr,ksm,rsm,ksm,rsm,kms,rms,kms,rms,smk,smr,smk,smr,msk,msr,msk,msr
294,1094,A14,A,7,1,"[2,[2]]",vrv,msvt,kr,False,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vvr,vvk,vvr,vvk,vvr,vvk,vvr,vvk,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,vvr,vvk,vvr,vvk,vvr,vvk,vvr,vvk,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,vvr,vvk,vvr,vvk,vvr,vvk,vvr,vvk
295,1095,A14,A,7,1,"[2,2]",vkv,msvt,kr,False,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vkv,vrv,vvk,vvr,vvk,vvr,vvk,vvr,vvk,vvr,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,vvk,vvr,vvk,vvr,vvk,vvr,vvk,vvr,kvv,rvv,kvv,rvv,kvv,rvv,kvv,rvv,vvk,vvr,vvk,vvr,vvk,vvr,vvk,vvr
296,1096,A14,A,7,2,"[[1,[2]],0]",srvkm,msvt,kr,True,srvkm,srvrm,vrskm,vrsrm,mksrv,mrsrv,mkvrs,mrvrs,mkvrs,mrvrs,mksrv,mrsrv,vrskm,vrsrm,srvkm,srvrm,svmkr,svmrr,vsmkr,vsmrr,msvrk,msvrr,mvsrk,mvsrr,rkmvs,rrmvs,rkmsv,rrmsv,krvsm,rrvsm,krsvm,rrsvm,rksvm,rrsvm,rkvsm,rrvsm,krmsv,rrmsv,krmvs,rrmvs,svmrk,svmrr,vsmrk,vsmrr,msvkr,msvrr,mvskr,mvsrr,krmvs,rrmvs,krmsv,rrmsv,rkvsm,rrvsm,rksvm,rrsvm,mvskr,mvsrr,msvkr,msvrr,vsmrk,vsmrr,svmrk,svmrr
298,1098,A14,A,7,2,"[0,[[1,[3]]]]",mrsrt,msvt,kr,True,mrsrt,mkskt,trsrm,tkskm,mrsrt,mkskt,trsrm,tkskm,trsrm,tkskm,mrsrt,mkskt,trsrm,tkskm,mrsrt,mkskt,mstrr,mstkk,tsmrr,tsmkk,mstrr,mstkk,tsmrr,tsmkk,rrtsm,kktsm,rrmst,kkmst,rrtsm,kktsm,rrmst,kkmst,rrmst,kkmst,rrtsm,kktsm,rrmst,kkmst,rrtsm,kktsm,mstrr,mstkk,tsmrr,tsmkk,mstrr,mstkk,tsmrr,tsmkk,rrtsm,kktsm,rrmst,kkmst,rrtsm,kktsm,rrmst,kkmst,tsmrr,tsmkk,mstrr,mstkk,tsmrr,tsmkk,mstrr,mstkk
290,1090,A14,A,7,1,"[2,[0]]",trm,msvt,kr,True,vrm,vkm,mrv,mkv,vrm,vkm,mrv,mkv,mrv,mkv,vrm,vkm,mrv,mkv,vrm,vkm,vmr,vmk,mvr,mvk,vmr,vmk,mvr,mvk,rmv,kmv,rvm,kvm,rmv,kmv,rvm,kvm,rvm,kvm,rmv,kmv,rvm,kvm,rmv,kmv,vmr,vmk,mvr,mvk,vmr,vmk,mvr,mvk,rmv,kmv,rvm,kvm,rmv,kmv,rvm,kvm,mvr,mvk,vmr,vmk,mvr,mvk,vmr,vmk
318,1118,A14,A,7,3,"[[[1,3],1],1]",sktksks,msvt,kr,False,sktksks,srtksrs,sktksks,srtksrs,sksktks,srsktrs,sksktks,srsktrs,sksktks,srsktrs,sksktks,srsktrs,sktksks,srtksrs,sktksks,srtksrs,stsskkk,stssrkr,stsskkk,stssrkr,sstskkk,sstsrkr,sstskkk,sstsrkr,kkkssts,rkrssts,kkkssts,rkrssts,kkkstss,rkrstss,kkkstss,rkrstss,kkkstss,rkrstss,kkkstss,rkrstss,kkkssts,rkrssts,kkkssts,rkrssts,stsskkk,stssrkr,stsskkk,stssrkr,sstskkk,sstsrkr,sstskkk,sstsrkr,kkkssts,rkrssts,kkkssts,rkrssts,kkkstss,rkrstss,kkkstss,rkrstss,sstskkk,sstsrkr,sstskkk,sstsrkr,stsskkk,stssrkr,stsskkk,stssrkr
297,1097,A14,A,7,2,"[[3,[2]],1]",trvks,msvt,kr,True,trvks,trvrs,vrtks,vrtrs,sktrv,srtrv,skvrt,srvrt,skvrt,srvrt,sktrv,srtrv,vrtks,vrtrs,trvks,trvrs,tvskr,tvsrr,vtskr,vtsrr,stvrk,stvrr,svtrk,svtrr,rksvt,rrsvt,rkstv,rrstv,krvts,rrvts,krtvs,rrtvs,rktvs,rrtvs,rkvts,rrvts,krstv,rrstv,krsvt,rrsvt,tvsrk,tvsrr,vtsrk,vtsrr,stvkr,stvrr,svtkr,svtrr,krsvt,rrsvt,krstv,rrstv,rkvts,rrvts,rktvs,rrtvs,svtkr,svtrr,stvkr,stvrr,vtsrk,vtsrr,tvsrk,tvsrr
337,1177,A15,D,4,2,"[[3,[2]],1]",vmstk,rksv,tm,True,vmstk,vmsmk,smvtk,smvmk,ktvms,kmvms,ktsmv,kmsmv,ktsmv,kmsmv,ktvms,kmvms,smvtk,smvmk,vmstk,vmsmk,vsktm,vskmm,svktm,svkmm,kvsmt,kvsmm,ksvmt,ksvmm,mtksv,mmksv,mtkvs,mmkvs,tmsvk,mmsvk,tmvsk,mmvsk,mtvsk,mmvsk,mtsvk,mmsvk,tmkvs,mmkvs,tmksv,mmksv,vskmt,vskmm,svkmt,svkmm,kvstm,kvsmm,ksvtm,ksvmm,tmksv,mmksv,tmkvs,mmkvs,mtsvk,mmsvk,mtvsk,mmvsk,ksvtm,ksvmm,kvstm,kvsmm,svkmt,svkmm,vskmt,vskmm
331,1171,A15,D,4,1,"[3,[2]]",vms,rksv,tm,True,vms,vts,smv,stv,vms,vts,smv,stv,smv,stv,vms,vts,smv,stv,vms,vts,vsm,vst,svm,svt,vsm,vst,svm,svt,msv,tsv,mvs,tvs,msv,tsv,mvs,tvs,mvs,tvs,msv,tsv,mvs,tvs,msv,tsv,vsm,vst,svm,svt,vsm,vst,svm,svt,msv,tsv,mvs,tvs,msv,tsv,mvs,tvs,svm,svt,vsm,vst,svm,svt,vsm,vst
330,1170,A15,D,4,1,"[2,[0]]",rmr,rksv,tm,True,smr,str,rms,rts,smr,str,rms,rts,rms,rts,smr,str,rms,rts,smr,str,srm,srt,rsm,rst,srm,srt,rsm,rst,mrs,trs,msr,tsr,mrs,trs,msr,tsr,msr,tsr,mrs,trs,msr,tsr,mrs,trs,srm,srt,rsm,rst,srm,srt,rsm,rst,mrs,trs,msr,tsr,mrs,trs,msr,tsr,rsm,rst,srm,srt,rsm,rst,srm,srt
