"","workerId","chain","generation","nouns","strings","prepM","prepR","swap"
"58","A54","J",3,5,"toltul;vivin;sasan;koto;rae toltul sasan;moy toltul vivin;moy koto toltul;rae koto sasan;moy koto vivin;moy vivin koto;rae toltul vivin;rae sasan vivin;moy toltul koto;rae sasan vivin;moy vivin toltul;rae koto sasan;rae vivin koto koto rae;moy sasan rae toltul koto;rae toltul moy toltul sasan;moy vivin koto rae toltul;rae vivin sasan sasan rae;moy vivin koto koto rae;rae sasan vivin moy vivin;moy koto toltul rae vivin;rae toltul sasan sasan moy;moy koto koto toltul moy;rae vivin vivin moy toltul;moy sasan vivin toltul moy;moy koto sasan moy sasan koto rae;vivin moy sasan sasan rae vivin moy;moy sasan koto rae koto koto moy;rae toltul koto rae sasan sasan moy;rae toltul sasan toltul rae vivin moy;moy toltul vivin moy vivin sasan moy;moy toltul rae toltul toltul koto rae;rae sasan vivin sasan koto rae rae;moy vivin rae toltul rae koto vivin;rae sasan sasan moy toltul koto moy;rae sasan toltul toltul rae sasan moy;moy koto koto rae toltul vivin rae","right","under","false"
"64","A41","K",3,4,"tuntul;vinkin;sosi;kanka;rae sosi tuntul;moy tuntul vinkin;moy kanka tuntul;rae vinkin kanka;moy kanka sosi;moy sosi kanka;rae tuntul sosi;rae vinkin sosi;moy tuntul kanka;rae sosi vinkin;moy vinkin tuntul;rae kanka vinkin;rae sosi rae kanka kanka;moy sosi rae tuntul kanka;rae tuntul moy tuntul sosi;rae tuntul moy sosi kanka;rae sosi rae sosi vinkin;rae kanka kanka moy vinkin;rae sosi vinkin moy sosi;rae vinkin moy kanka tuntul;moy vinkin vinkin rae tuntul;moy kanka kanka moy tuntul;moy tuntul rae vinkin vinkin;moy tuntul moy sosi vinkin;moy sosi kanka rae kanka sosi moy;moy sosi sosi moy vinkin rae vinkin;rae kanka moy vinkin kanka moy kanka;moy vinkin vinkin rae kanka rae tuntul;rae sosi rae vinkin tuntul moy tuntul;moy sosi moy vinkin moy tuntul sosi;rae tuntul rae tuntul kanka moy tuntul;rae kanka rae sosi rae vinkin rae;moy sosi moy kanka sosi rae tuntul;moy tuntul kanka moy vinkin rae vinkin;moy vinkin rae tuntul rae tuntul vinkin;rae sosi rae tuntul moy kanka kanka","right","under","false"
"70","A6","L",3,0,"kilkul;vanva;tovo;sunsin;tovo rae kilkul;kilkul moy vanva;sunsin moy kilkul;vanva rae sunsin;sunsin moy tovo;tovo rae sunsin;kilkul rae tovo;vanva moy kilkul;kilkul rae sunsin;rae tovo vanva;vanva moy kilkul;sunsin rae vanva;tovo rae sunsin rae sunsin;kilkul rae sunsin moy tovo;kilkul moy tovo rae kilkul;kilkul rae tovo moy sunsin;tovo rae tovo rae vanva;sunsin rae sunsin moy vanva;tovo moy tovo rae vanva;vanva rae sunsin moy kilkul;vanva moy vanva rae kilkul;kilkul moy sunsin moy sunsin;kilkul moy vanva rae vanva;kilkul moy tovo moy vanva;sunsin rae tovo moy tovo moy sunsin;vanva moy tovo moy tovo rae vanva;sunsin moy sunsin rae vanva moy sunsin;vanva moy vanva rae sunsin rae kilkul;tovo rae kilkul moy vanva moy kilkul;tovo moy vanva moy kilkul moy tovo;kilkul rae kilkul rae sunsin moy kilkul;sunsin rae tovo rae vanva tovo rae;sunsin moy tovo rae kilkul moy tovo;kilkul moy sunsin moy vanva rae vanva;vanva moy kilkul rae kilkul rae vanva;tovo rae kilkul rae sunsin moy sunsin","right","under","false"
"5","A33","A",4,7,"sisu;vinvi;konkan;tulsul;sisu rae konkan;vinvi moy sisu;sisu moy tulsul;tulsul rae vinvi;konkan moy tulsul;tulsul moy konkan;konkan rae sisu;konkan rae vinvi;tulsul moy sisu;vinvi rae konkan;sisu moy vinvi;vinvi rae tulsul;konkan rae tulsul rae tulsul;konkan moy sisu rae tulsul;konkan moy sisu rae sisu;tulsul moy konkan rae sisu;konkan rae konkan rae vinvi;vinvi moy tulsul rae tulsul;konkan moy rae vinvi konkan;vinvi rae sisu moy tulsul;vinvi moy vinvi rae sisu;tulsul moy tulsul moy sisu;vinvi rae vinvi moy sisu;vinvi moy konkan moy sisu;tulsul moy konkan moy vinvi rae konkan;konkan moy konkan moy vinvi rae vinvi;tulsul rae tulsul moy vinvi moy tulsul;vinvi moy vinvi rae tulsul rae sisu;konkan rae sisu moy vinvi moy sisu;konkan moy sisu moy vinvi moy konkan;sisu moy sisu rae sisu rae tulsul;tulsul rae konkan rae vinvi rae konkan;konkan moy konkan moy tulsul rae sisu;vinvi rae vinvi moy tulsul moy sisu;sisu rae sisu rae vinvi moy vinvi;konkan rae sisu rae tulsul moy tulsul","right","atop","false"
"11","A55","B",4,3,"vusu;tinkin;solson;kolkil;rae vusu solson;tinkin moy vusu;vusu moy kolkil;kolkil rae tinkin;solson moy kolkil;kolkil moy solson;solson rae vusu;solson rae tinkin;kolkil moy vusu;tinkin rae solson;vusu moy tinkin;tinkin rae kolkil;kolkil kolkil rae solson rae;solson moy kolkil rae vusu;vusu rae solson moy vusu;kolkil moy solson rae vusu;tinkin rae solson rae solson;tinkin moy kolkil rae kolkil;tinkin rae solson moy solson;vusu moy kolkil rae tinkin;vusu rae tinkin moy tinkin;kolkil moy kolkil moy vusu;tinkin rae tinkin moy vusu;tinkin moy solson moy vusu;kolkil moy solson moy solson rae kolkil;tinkin rae solson moy solson moy tinkin;kolkil moy tinkin moy kolkil moy kolkil;vusu rae kolkil rae tinkin moy tinkin;vusu moy tinkin moy vusu rae solson;solson moy vusu moy tinkin moy solson;vusu moy kolkil rae vusu rae vusu;solson rae solson rae kolkil vusu tinkin;solson moy vusu rae solson kolkil moy;tinkin rae tinkin moy kolkil moy vusu;tinkin rae vusu rae vusu moy tinkin;kolkil moy kolkil rae vusu moy solson","left","atop","false"
"17","A13","C",4,1,"kuka;vinkin;tultol;solsil;kuka rae vinkin;solsil moy kuka;kuka moy solsil;solsil rae vinkin;tultol moy solsil;solsil moy tultol;vinkin rae kuka;tultol rae solsil;solsil moy kuka;vinkin rae tultol;kuka moy solsil;solsil rae solsil;tultol rae solsil rae solsil;solsil rae kuka moy tultol;kuka rae kuka moy tultol;solsil moy tultol rae kuka;solsil rae tultol rae tultol;vinkin moy solsil rae solsil;solsil rae tultol moy tultol;kuka moy solsil rae vinkin;kuka rae solsil moy solsil;solsil moy solsil moy kuka;vinkin rae vinkin moy kuka;vinkin moy tultol moy kuka;tultol moy solsil moy tultol rae solsil;vinkin rae tultol moy tultol moy vinkin;vinkin moy solsil rae solsil moy solsil;kuka rae solsil rae vinkin moy vinkin;kuka moy vinkin moy kuka rae tultol;tultol moy kuka moy vinkin moy tultol;kuka moy solsil rae kuka rae kuka;tultol rae vinkin rae tultol rae solsil;tultol moy kuka rae tultol moy solsil;vinkin rae vinkin moy solsil moy kuka;vinkin rae kuka rae kuka moy vinkin;solsil moy solsil rae kuka rae tultol","right","atop","false"
"23","A27","D",4,8,"titil;vuntun;silvil;kaku;silvil rae titil;silvil moy vuntun;kaku moy titil;vuntun rae kaku;kaku moy silvil;silvil moy kaku;titil rae silvil;vuntun rae silvil;titil moy kaku;silvil rae vuntun;vuntun moy titil;kaku rae vuntun;kaku rae kaku rae silvil;titil rae kaku moy silvil;titil moy silvil rae titil;silvil rae kaku rae titil;silvil rae vuntun rae silvil;kaku rae kaku moy vuntun;silvil moy silvil rae vuntun;vuntun rae kaku moy titil;vuntun moy vuntun rae titil;titil moy kaku moy kaku;titil moy vuntun rae vuntun;titil moy silvil moy vuntun;kaku rae silvil moy silvil moy kaku;vuntun moy silvil moy silvil rae vuntun;kaku moy vuntun moy kaku rae kaku;vuntun vuntun rae kaku rae titil rae;silvil rae titil moy vuntun moy titil;silvil moy vuntun moy titil moy silvil;titil rae titil rae kaku moy titil;kaku rae silvil rae vuntun rae silvil;moy kaku silvil rae titil moy silvil;silvil moy kaku moy vuntun vuntun rae;vuntun moy rae vuntun rae titil titil;silvil rae titil rae moy kaku kaku","right","under","false"
"29","A22","E",4,6,"soko;vilval;tulkul;kinsin;soko rae tulkul;soko moy vilval;kinsin moy soko;kinsin rae vilval;kinsin moy tulkul;tulkul moy kinsin;tulkul rae soko;tulkul rae vilval;soko moy kinsin;vilval rae tulkul;vilval moy soko;vilval rae kinsin;kinsin rae kinsin rae tulkul;kinsin rae soko moy tulkul;soko rae soko moy tulkul;tulkul moy kinsin rae soko;vilval rae tulkul rae tulkul;kinsin rae kinsin moy vilval;tulkul moy vilval rae tulkul;kinsin moy soko rae vilval;soko rae vilval moy vilval;soko moy kinsin moy kinsin;soko moy vilval rae vilval;soko moy tulkul moy vilval;tulkul rae kinsin moy tulkul moy kinsin;vilval rae vilval moy tulkul moy tulkul;vilval moy kinsin rae kinsin moy kinsin;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko rae tulkul;tulkul moy vilval moy soko moy tulkul;kinsin rae soko rae soko moy soko;tulkul rae vilval rae tulkul rae kinsin;soko rae kinsin moy tulkul moy tulkul;soko moy kinsin moy vilval rae vilval;vilval moy vilval rae soko rae soko;kinsin moy kinsin rae soko rae tulkul","right","atop","false"
"35","A21","F",4,9,"valtal;kolkul;siso;tontin;valtal rae siso;valtal moy kolkul;siso moy valtal;siso rae kolkul;tontin moy siso;siso moy tontin;siso rae valtal;siso rae kolkul;valtal moy tontin;kolkul rae siso;kolkul moy valtal;kolkul rae tontin;tontin rae tontin siso siso;tontin rae valtal moy siso;valtal rae valtal moy siso;siso moy tontin rae valtal;kolkul rae siso rae siso;tontin rae tontin moy kolkul;siso moy kolkul rae siso;tontin moy valtal rae kolkul;valtal rae kolkul moy kolkul;valtal moy tontin moy tontin;valtal moy kolkul rae kolkul;valtal moy siso moy kolkul;siso rae tontin moy siso moy tontin;kolkul rae kolkul moy siso moy siso;tontin moy kolkul moy tontin rae tontin;valtal rae tontin rae kolkul moy kolkul;valtal moy kolkul moy valtal rae siso;siso moy kolkul moy valtal moy siso;tontin rae valtal rae valtal moy valtal;siso rae kolkul rae siso rae tontin;tontin moy siso rae valtal moy siso;valtal moy tontin moy kolkul rae kolkul;kolkul moy kolkul rae valtal rae valtal;tontin moy tontin rae valtal rae siso","right","atop","false"
"41","A24","G",4,9,"valtal;kolkul;siso;tontin;siso rae valtal;kolkul moy valtal;valtal moy tontin;kolkul rae tontin;siso moy tontin;tontin moy siso;valtal rae siso;kolkul rae siso;tontin moy valtal;siso rae kolkul;valtal moy kolkul;tontin rae kolkul;siso rae tontin tontin tontin;siso moy valtal rae tontin;siso moy valtal rae valtal;valtal rae tontin moy siso;siso rae siso rae kolkul;kolkul moy tontin rae tontin;siso rae kolkul moy siso;kolkul rae valtal moy tontin;kolkul moy kolkul rae valtal;tontin moy tontin moy valtal;kolkul rae kolkul moy valtal;kolkul moy siso moy valtal;tontin moy siso moy tontin rae siso;siso moy siso moy kolkul rae kolkul;tontin tontin rae tontin moy kolkul valtal;kolkul moy kolkul rae tontin rae valtal;siso rae valtal moy kolkul moy valtal;siso moy valtal moy kolkul moy siso;valtal moy valtal rae valtal rae tontin;tontin rae siso rae kolkul rae siso;siso moy siso moy tontin rae valtal;kolkul rae kolkul moy tontin moy valtal;valtal rae valtal rae kolkul moy kolkul;siso rae valtal rae tontin moy tontin","left","under","false"
"47","A52","H",4,2,"sulsal;tinkin;kakan;volsol;kakan rae sulsal;tinkin moy sulsal;sulsal moy volsol;tinkin rae volsol;kakan moy volsol;volsol moy kakan;sulsal rae kakan;tinkin rae kakan;volsol moy sulsal;kakan rae tinkin;sulsal moy tinkin;volsol rae tinkin;kakan volsol rae rae volsol;kakan moy sulsal rae volsol;kakan sulsal rae sulsal rae;sulsal rae volsol moy kakan;kakan rae kakan rae tinkin;tinkin moy volsol rae volsol;kakan rae tinkin moy tinkin;tinkin rae sulsal moy volsol;tinkin moy tinkin rae sulsal;volsol moy volsol moy sulsal;tinkin rae tinkin moy sulsal;tinkin moy kakan moy sulsal;volsol moy kakan moy volsol rae kakan;kakan moy kakan moy tinkin rae tinkin;volsol rae volsol moy tinkin moy volsol;tinkin moy tinkin rae volsol rae sulsal;kakan rae sulsal moy tinkin moy sulsal;kakan moy sulsal moy tinkin moy kakan;sulsal moy sulsal rae sulsal rae volsol;volsol rae kakan rae tinkin rae kakan;kakan moy kakan moy volsol rae sulsal;tinkin rae tinkin moy volsol moy sulsal;sulsal rae sulsal rae tinkin moy tinkin;kakan rae sulsal rae volsol volsol moy","left","under","false"
"53","A42","I",4,6,"soko;vilval;tulkul;kinsin;soko rae tulkul;vilval moy soko;soko moy kinsin;kinsin rae vilval;tulkul moy kinsin;kinsin moy tulkul;tulkul rae soko;tulkul rae vilval;kinsin moy soko;vilval rae tulkul;soko moy vilval;vilval rae kinsin;kinsin kinsin rae tulkul rae;tulkul moy kinsin rae soko;tulkul moy soko rae soko;kinsin moy tulkul rae soko;tulkul rae tulkul rae vilval;vilval moy kinsin rae kinsin;tulkul rae vilval moy tulkul;vilval rae soko moy kinsin;vilval moy vilval rae soko;kinsin moy kinsin moy soko;vilval rae vilval moy soko;vilval moy tulkul moy soko;kinsin moy tulkul moy kinsin rae tulkul;tulkul moy tulkul moy vilval rae vilval;kinsin rae kinsin moy vilval moy kinsin;vilval moy vilval rae kinsin rae soko;tulkul rae soko moy kinsin moy soko;tulkul moy soko moy vilval moy tulkul;soko moy soko rae soko rae kinsin;kinsin rae tulkul rae vilval rae tulkul;tulkul moy tulkul moy kinsin rae soko;vilval rae vilval moy kinsin moy soko;soko rae soko rae vilval moy vilval;tulkul rae soko rae kinsin moy kinsin","right","atop","false"
"59","A38","J",4,5,"toltul;vivin;sasan;koto;sasan rae toltul;vivin moy toltul;koto rae toltul;vivin rae koto;koto moy sasan;sasan moy koto;toltul rae sasan;vivin rae sasan;toltul moy koto;sasan rae vivin;vivin moy toltul;koto rae vivin;rae sasan rae toltul rae;moy sasan rae koto toltul;toltul moy toltul rae toltul;rae toltul koto moy sasan;rae sasan rae sasan rae;moy vivin koto rae koto;sasan rae vivin moy sasan;rae vivin moy koto toltul;moy vivin vivin rae toltul;toltul rae koto koto rae;moy toltul rae vivin vivin;moy toltul moy sasan vivin;rae sasan koto moy sasan koto moy;rae sasan sasan vivin moy sasan rae;moy toltul koto rae koto vivin rae;rae vivin vivin rae koto rae toltul;rae sasan toltul moy vivin moy toltul;moy sasan moy vivin moy toltul moy;moy toltul rae toltul koto toltul moy;koto rae sasan rae vivin rae sasan;rae sasan koto toltul moy sasan rae;toltul moy koto rae vivin vivin moy;moy vivin rae toltul toltul vivin rae;rae sasan rae toltul toltul toltul moy","right","under","false"
"65","A26","K",4,4,"tuntul;vinkin;sosi;kanka;rae sosi tuntul;moy tuntul vinkin;moy kanka tuntul;rae vinkin kanka;rae moy kanka;moy sosi kanka;rae tuntul sosi;rae vinkin sosi;moy tuntul kanka;rae sosi vinkin;moy vinkin tuntul;rae kanka vinkin;rae sosi rae kanka kanka;rae tuntul kanka moy sosi;rae tuntul sosi rae tuntul;rae tuntul moy sosi kanka;rae sosi rae sosi vinkin;moy kanka kanka moy vinkin;moy sosi rae sosi vinkin;rae vinkin moy kanka tuntul;moy vinkin vinkin rae tuntul;moy tuntul kanka kanka kanka;moy tuntul rae vinkin vinkin;moy tuntul moy sosi vinkin;moy kanka rae sosi moy sosi kanka;rae vinkin moy sosi sosi rae vinkin;rae moy kanka rae kanka vinkin kanka;rae vinkin vinkin rae kanka rae tuntul;rae sosi moy tuntul vinkin tuntul vinkin;rae sosi rae vinkin rae tuntul sosi;moy tuntul rae tuntul kanka tuntul tuntul;rae kanka rae sosi rae vinkin sosi;moy kanka sosi rae tuntul moy sosi;moy tuntul kanka moy vinkin rae vinkin;moy vinkin moy tuntul rae tuntul vinkin;rae sosi rae tuntul moy kanka kanka","right","under","false"
"71","A29","L",4,0,"kilkul;vanva;tovo;sunsin;kilkul rae tovo;kilkul moy vanva;sunsin moy kilkul;sunsin rae vanva;tovo moy vanva;tovo moy sunsin;tovo rae kilkul;tovo rae vanva;kilkul moy sunsin;vanva rae tovo;kilkul moy vanva;vanva rae sunsin;sunsin rae sunsin rae tovo;sunsin rae kilkul moy tovo;sunsin rae kilkul moy tovo;tovo moy sunsin rae kilkul;vanva rae tovo rae tovo;sunsin rae sunsin moy vanva;tovo moy vanva rae tovo;sunsin moy kilkul rae vanva;kilkul rae vanva moy vanva;kilkul moy sunsin moy sunsin;kilkul moy sunsin rae vanva;kilkul moy tovo moy vanva;tovo rae sunsin moy tovo moy sunsin;vanva rae vanva moy tovo moy tovo;kilkul moy vanva moy sunsin rae sunsin;kilkul rae sunsin rae vanva moy vanva;kilkul moy vanva moy kilkul rae tovo;tovo moy vanva moy kilkul moy tovo;sunsin rae kilkul rae kilkul moy kilkul;tovo rae vanva rae tovo rae sunsin;kilkul rae sunsin moy tovo moy tovo;kilkul moy sunsin moy vanva rae vanva;vanva moy vanva rae kilkul rae kilkul;sunsin moy sunsin rae kilkul rae tovo","right","atop","false"
"6","A18","A",5,7,"sisu;vinvi;konkan;tulsul;konkan rae sisu;vinvi moy sisu;sisu moy tulsul;vinvi rae tulsul;konkan moy tulsul;tulsul moy konkan;sisu rae konkan;konkan rae vinvi;tulsul moy sisu;vinvi rae konkan;sisu moy vinvi;vinvi rae tulsul;konkan rae tulsul rae tulsul;konkan moy sisu rae tulsul;konkan moy sisu rae sisu;tulsul moy konkan rae sisu;konkan rae konkan rae vinvi;vinvi moy tulsul rae tulsul;konkan moy rae vinvi konkan;vinvi rae sisu moy tulsul;vinvi moy vinvi rae sisu;tulsul moy tulsul moy sisu;vinvi rae vinvi moy sisu;vinvi moy konkan moy sisu;tulsul moy konkan moy tulsul rae konkan;konkan moy konkan moy vinvi rae vinvi;tulsul moy vinvi rae tulsul moy tulsul;vinvi moy vinvi rae tulsul rae sisu;konkan rae sisu moy vinvi moy sisu;konkan moy sisu moy vinvi moy konkan;sisu moy sisu rae sisu rae tulsul;tulsul rae konkan rae vinvi rae konkan;konkan moy konkan moy tulsul rae sisu;vinvi rae vinvi moy tulsul moy sisu;vinvi rae sisu rae sisu moy vinvi;tulsul rae tulsul rae sisu rae konkan","right","atop","false"
"12","A57","B",5,3,"vusu;tinkin;solson;kolkil;vusu rae tinkin;tinkin moy vusu;vusu moy kolkil;kolkil rae tinkin;solson moy kolkil;kolkil moy solson;solson rae vusu;solson rae tinkin;kolkil moy vusu;tinkin rae solson;vusu moy tinkin;tinkin rae kolkil;kolkil rae kolkil rae solson;solson moy kolkil rae vusu;vusu rae solson moy vusu;kolkil moy solson rae vusu;tinkin rae solson rae solson;tinkin moy kolkil rae kolkil;tinkin rae solson moy solson;vusu moy kolkil rae tinkin;vusu rae tinkin moy tinkin;kolkil moy kolkil moy vusu;tinkin rae tinkin moy vusu;tinkin moy solson moy vusu;kolkil moy solson moy solson rae kolkil;kolkil rae solson vusu solson kolkil kolkil;kolkil moy tinkin rae kolkil moy kolkil;vusu rae kolkil rae tinkin moy tinkin;vusu moy tinkin moy vusu rae solson;solson moy vusu moy tinkin moy solson;vusu moy kolkil rae kolkil rae vusu;solson rae tinkin rae solson rae kolkil;solson moy vusu rae solson moy kolkil;tinkin rae tinkin moy kolkil moy vusu;tinkin rae vusu rae vusu moy tinkin;kolkil moy kolkil rae vusu rae solson","left","atop","false"
"18","A56","C",5,1,"kuka;vinkin;tultol;solsil;kuka rae tultol;kuka rae vinkin;solsil moy kuka;solsil rae vinkin;solsil moy vinkin;solsil moy tultol;tultol rae kuka;tultol rae vinkin;kuka moy solsil;vinkin rae tultol;vinkin moy kuka;vinkin rae solsil;solsil rae solsil rae tultol;vinkin moy solsil rae kuka;tultol rae kuka rae kuka;tultol moy solsil rae kuka;vinkin rae tultol rae tultol;solsil rae solsil moy vinkin;tultol moy vinkin rae tultol;solsil moy kuka moy vinkin;kuka moy vinkin rae vinkin;kuka moy solsil moy solsil;kuka moy vinkin rae vinkin;kuka moy tultol moy vinkin;tultol rae rae solsil moy tultol moy;vinkin rae vinkin moy tultol moy tultol;solsil moy solsil vinkin rae solsil rae;kuka rae solsil rae vinkin moy vinkin;kuka moy vinkin moy kuka rae tultol;tultol moy vinkin moy kuka moy tultol;solsil rae kuka rae kuka moy kuka;tultol rae vinkin tultol rae solsil rae;kuka rae solsil solsil moy tultol moy;kuka moy solsil moy vinkin rae vinkin;vinkin moy vinkin rae kuka rae kuka;solsil moy solsil rae kuka rae tultol","right","atop","false"
"24","A17","D",5,8,"titil;vuntun;silvil;kaku;rae silvil titil;titil moy vuntun;kaku moy titil;vuntun rae kaku;kaku moy silvil;silvil moy kaku;titil rae silvil;vuntun rae silvil;titil moy kaku;silvil rae vuntun;vuntun moy titil;kaku rae vuntun;silvil rae kaku kaku kaku;titil rae kaku moy silvil;titil moy silvil rae titil;titil rae silvil moy kaku;silvil rae silvil rae vuntun;kaku rae kaku moy vuntun;silvil moy silvil rae vuntun;vuntun rae kaku moy titil;vuntun moy vuntun rae titil;titil moy kaku moy kaku;titil moy vuntun rae vuntun;titil moy silvil moy vuntun;kaku rae silvil moy silvil moy kaku;vuntun moy silvil moy silvil rae vuntun;kaku moy kaku rae vuntun moy kaku;vuntun moy vuntun rae kaku rae titil;silvil rae titil moy vuntun moy titil;silvil moy vuntun moy titil moy silvil;titil rae titil rae kaku moy titil;kaku rae silvil rae vuntun rae silvil;kaku moy silvil rae titil moy silvil;titil moy kaku moy vuntun rae vuntun;vuntun moy titil rae titil rae vuntun;silvil rae titil rae kaku moy kaku","right","under","false"
"30","A28","E",5,6,"soko;vilval;tulkul;kinsin;soko rae tulkul;soko moy vilval;kinsin moy soko;kinsin rae vilval;kinsin moy tulkul;tulkul moy kinsin;tulkul rae soko;tulkul rae vilval;soko moy kinsin;vilval rae tulkul;vilval moy soko;vilval rae soko;kinsin rae kinsin rae tulkul;kinsin rae soko moy tulkul;soko rae soko moy tulkul;tulkul moy kinsin rae soko;vilval rae tulkul rae tulkul;kinsin rae kinsin moy vilval;tulkul moy vilval rae tulkul;kinsin moy soko rae vilval;soko rae vilval moy vilval;soko moy kinsin moy kinsin;soko moy vilval rae vilval;soko moy tulkul moy vilval;tulkul rae kinsin moy tulkul moy kinsin;vilval rae vilval moy tulkul moy tulkul;kinsin moy vilval moy kinsin rae kinsin;soko rae kinsin rae vilval moy vilval;soko moy vilval moy soko rae tulkul;tulkul moy vilval moy soko moy tulkul;kinsin rae soko rae soko moy soko;tulkul rae vilval rae tulkul rae kinsin;soko rae kinsin moy tulkul moy tulkul;soko moy kinsin moy vilval rae vilval;vilval moy vilval rae soko rae soko;kinsin moy kinsin rae soko rae tulkul","right","atop","false"
"36","A3","F",5,9,"valtal;kolkul;siso;tontin;valtal valtal valtal;moy moy moy;moy valtal moy;tontin tontin tontin;moy tontin siso;siso tontin moy;siso rae kolkul;siso rae valtal;kolkul moy tontin;kolkul rae siso;kolkul moy valtal;kolkul rae tontin;tontin tontin rae siso siso;tontin rae valtal moy siso;valtal rae valtal siso valtal;tontin siso siso siso rae;kolkul rae siso siso rae;tontin rae tontin moy kolkul;siso rae kolkul rae siso;kolkul moy tontin rae kolkul;kolkul moy moy valtal moy;kolkul moy kolkul moy valtal;kolkul rae kolkul moy valtal;kolkul rae siso rae valtal;siso moy tontin rae tontin tontin moy;kolkul rae siso moy siso siso moy;tontin moy kolkul rae tontin moy tontin;valtal rae tontin rae kolkul moy kolkul;valtal moy kolkul moy valtal rae tontin;siso moy valtal moy kolkul moy siso;valtal moy tontin tontin rae valtal rae;siso rae rae kolkul rae siso rae;tontin moy valtal rae tontin moy tontin;kolkul rae kolkul moy tontin moy valtal;valtal rae valtal rae valtal moy kolkul;tontin moy tontin rae valtal rae tontin","right","atop","false"
"42","A59","G",5,9,"valtal;kolkul;siso;tontin;siso rae valtal;kolkul moy valtal;valtal moy tontin;kolkul rae tontin;siso moy tontin;tontin moy siso;valtal rae siso;kolkul rae siso;tontin moy valtal;siso rae kolkul;valtal moy kolkul;tontin rae kolkul;siso rae tontin tontin tontin;siso moy valtal rae tontin;siso moy valtal rae valtal;valtal rae tontin moy siso;siso rae siso rae kolkul;kolkul moy tontin rae tontin;siso rae kolkul moy siso;kolkul rae valtal moy tontin;kolkul moy kolkul rae valtal;tontin moy tontin moy valtal;kolkul rae kolkul moy valtal;kolkul moy siso moy valtal;tontin moy siso moy tontin rae siso;siso moy siso moy kolkul rae kolkul;tontin rae tontin moy kolkul moy tontin;kolkul moy kolkul rae tontin rae valtal;siso rae valtal moy kolkul moy valtal;siso moy valtal moy kolkul moy siso;valtal moy valtal rae valtal rae tontin;tontin rae siso rae kolkul rae siso;siso moy siso moy tontin rae valtal;kolkul rae kolkul moy tontin moy valtal;valtal rae valtal rae kolkul moy kolkul;siso rae valtal rae tontin moy tontin","left","under","false"
"48","A30","H",5,2,"sulsal;tinkin;kakan;volsol;kakan rae sulsal;tinkin moy sulsal;sulsal moy volsol;tinkin rae volsol;kakan moy volsol;volsol moy kakan;sulsal rae kakan;tinkin rae kakan;volsol moy sulsal;kakan rae tinkin;sulsal moy tinkin;volsol rae tinkin;kakan volsol rae rae volsol;kakan moy sulsal rae volsol;kakan sulsal rae sulsal rae;sulsal rae volsol moy kakan;kakan rae kakan rae tinkin;tinkin moy volsol rae volsol;kakan rae tinkin moy kakan;tinkin rae sulsal moy volsol;tinkin tinkin rae sulsal rae;volsol moy volsol moy sulsal;tinkin rae tinkin moy sulsal;tinkin moy tinkin moy sulsal;volsol moy kakan moy volsol rae kakan;kakan kakan tinkin rae tinkin rae tinkin;volsol rae volsol moy tinkin moy volsol;tinkin tinkin rae volsol rae sulsal rae;kakan rae sulsal moy tinkin moy sulsal;kakan moy sulsal moy tinkin moy kakan;sulsal moy sulsal rae sulsal rae volsol;volsol rae kakan rae tinkin rae kakan;kakan moy kakan moy volsol rae sulsal;tinkin rae tinkin moy volsol moy sulsal;sulsal rae sulsal rae tinkin moy tinkin;kakan rae sulsal rae volsol moy volsol","left","under","false"
"54","A20","I",5,6,"soko;vilval;tulkul;kinsin;soko rae tulkul;vilval moy soko;soko moy kinsin;vilval rae kinsin;tulkul moy kinsin;kinsin moy tulkul;soko rae tulkul;vilval rae tulkul;kinsin moy soko;tulkul rae vilval;soko moy vilval;kinsin rae vilval;tulkul rae kinsin rae kinsin;tulkul moy soko rae kinsin;tulkul moy soko rae soko;soko rae kinsin moy tulkul;tulkul rae tulkul rae vilval;vilval moy kinsin rae kinsin;tulkul rae vilval moy tulkul;vilval rae soko moy kinsin;vilval moy vilval rae soko;kinsin moy kinsin moy soko;vilval rae vilval moy soko;vilval moy tulkul moy soko;kinsin moy tulkul moy kinsin rae tulkul;tulkul moy tulkul moy vilval rae vilval;kinsin rae kinsin moy vilval moy kinsin;vilval moy vilval rae kinsin rae soko;tulkul rae soko moy vilval moy soko;tulkul moy soko moy vilval moy tulkul;soko moy soko rae soko rae kinsin;kinsin rae tulkul rae vilval rae tulkul;tulkul moy tulkul moy kinsin rae soko;vilval rae vilval moy kinsin moy soko;soko rae soko rae vilval moy vilval;tulkul rae soko rae kinsin moy kinsin","left","atop","false"
