"","workerId","gen","chain","prepM","prepR","strings","arrayTraining","time","seen","level","encodingCorrected","consonants"
"96","A11",1,"C","left","atop","solsil rae tultol","[1,[3]]",1597168695,"false","2","srt","ktvs"
"97","A11",1,"C","left","atop","vinkin rae solsil solsil rae","[[3,[3]],[2]]",1597168710,"true","3","vrssr","ktvs"
"98","A11",1,"C","left","atop","vinkin moy kuka rae solsil","[2,[3,[0]]]",1597168723,"true","3","vmkrs","ktvs"
"99","A11",1,"C","left","atop","vinkin moy kuka rae kuka","[0,[[2,0]]]",1597168733,"true","3","vmkrk","ktvs"
"100","A11",1,"C","left","atop","kuka rae solsil moy vinkin","[[3,2],[0]]",1597168747,"true","3","krsmv","ktvs"
"101","A11",1,"C","left","atop","vinkin rae vinkin rae tultol","[[1,[2]],[2]]",1597168757,"true","3","vrvrt","ktvs"
"102","A11",1,"C","left","atop","vinkin moy solsil rae solsil","[1,[3,[3]]]",1597168765,"true","3","vmsrs","ktvs"
"103","A11",1,"C","left","atop","vinkin rae tultol moy vinkin","[[1,[2]],2]",1597168780,"true","3","vrtmv","ktvs"
"104","A11",1,"C","left","atop","vinkin rae kuka moy solsil","[[0,3],[1]]",1597168809,"true","3","vrkms","ktvs"
"105","A11",1,"C","left","atop","tultol moy tultol rae kuka","[0,[[1,1]]]",1597168818,"false","3","tmtrk","ktvs"
"106","A11",1,"C","left","atop","solsil moy solsil moy kuka","[[3,3],0]",1597168833,"false","3","smsmk","ktvs"
"107","A11",1,"C","left","atop","tultol rae tultol moy kuka","[[1,[1]],0]",1597168844,"false","3","trtmk","ktvs"
"108","A11",1,"C","left","atop","tultol moy tultol moy kuka","[[1,2],0]",1597168877,"false","3","tmtmk","ktvs"
"109","A11",1,"C","left","atop","solsil moy vinkin moy vinkin rae solsil","[3,[2,[2,[3]]]]",1597168917,"false","4","smvmvrs","ktvs"
"110","A11",1,"C","left","atop","vinkin moy vinkin moy tultol rae tultol","[1,[[2,[2,1]]]]",1597168927,"false","4","vmvmtrt","ktvs"
"111","A11",1,"C","left","atop","solsil moy solsil rae solsil moy tultol","[[[3,1],[3]],3]",1597168945,"false","4","smsrsmt","ktvs"
"112","A11",1,"C","left","atop","tultol moy tultol rae solsil rae kuka","[0,[[3,[[1,1]]]]]",1597168958,"false","4","tmtrsrk","ktvs"
"113","A11",1,"C","left","atop","vinkin rae kuka moy vinkin moy kuka","[[[0,1],0],[2]]",1597168974,"false","4","vrkmvmk","ktvs"
"114","A11",1,"C","left","atop","vinkin moy kuka moy tultol moy vinkin","[[[2,0],1],2]",1597168989,"false","4","vmkmtmv","ktvs"
"115","A11",1,"C","left","atop","kuka moy kuka rae kuka rae solsil","[0,[3,[[0,[0]]]]]",1597169000,"false","4","kmkrkrs","ktvs"
"116","A11",1,"C","left","atop","solsil rae vinkin rae tultol rae vinkin","[[[2,[1]],[2]],[3]]",1597169010,"false","4","srvrtrv","ktvs"
"117","A11",1,"C","left","atop","vinkin moy vinkin moy solsil rae kuka","[2,[0,[[2,3]]]]",1597169027,"false","4","vmvmsrk","ktvs"
"118","A11",1,"C","left","atop","vinkin rae tultol moy solsil moy kuka","[[[1,[1]],3],0]",1597169039,"false","4","vrtmsmk","ktvs"
"119","A11",1,"C","left","atop","kuka rae kuka rae tultol moy tultol","[[[1,[0]],[0]],1]",1597169051,"false","4","krkrtmt","ktvs"
"120","A11",1,"C","left","atop","vinkin rae kuka rae solsil moy solsil","[[[3,3],[0]],[2]]",1597169061,"false","4","vrkrsms","ktvs"
"121","A12",3,"D","right","atop","titil","0",1597768600,"true","1","t","tvsk"
"122","A12",3,"D","right","atop","vuntun","1",1597768606,"true","1","v","tvsk"
"123","A12",3,"D","right","atop","silvil","2",1597768610,"true","1","s","tvsk"
"124","A12",3,"D","right","atop","kaku","3",1597768615,"true","1","k","tvsk"
